Issue Number,Title,State,Created At,Updated At,Assignee,Labels
4815,cannot change start of week day,closed,2020-05-06T12:39:08Z,2024-11-12T07:47:23Z,,"bug, P3"
4814,Handle rangebreak gaps in `candlestick` & `ohlc`,closed,2020-05-05T21:21:05Z,2020-05-07T20:07:04Z,,bug
4813,"No error thrown if invalid type provided, silently falls back to `scatter`",open,2020-05-05T14:06:07Z,2024-08-09T17:25:25Z,,"bug, P3"
4812,Category-axis bar chart has incorrect width if category label equals endpoint of autocomputed range,closed,2020-05-05T02:01:30Z,2020-10-22T12:07:42Z,,bug
4811,Downgrade acorn to v6 ,closed,2020-05-04T22:34:17Z,2020-05-04T22:38:39Z,,bug
4810,Apply and ensure stroke event only to activate editable shapes,closed,2020-05-04T19:08:57Z,2020-05-05T15:17:59Z,,"bug, regression"
4808,Can no longer pan/zoom when mousedown is on shapes,closed,2020-05-04T13:40:38Z,2020-05-04T21:08:16Z,archmoj,"bug, regression"
4807,react() and plot_bgcolor,closed,2020-05-04T13:17:37Z,2023-06-02T19:53:47Z,archmoj,bug
4806,Shapes on below layer hides hover labels on 1.54.0,closed,2020-05-03T10:00:18Z,2020-05-04T21:08:16Z,archmoj,"bug, regression"
4801,Plotly not showing subgroup identificator in horizontal version,open,2020-05-01T17:43:09Z,2024-08-09T17:25:31Z,,"bug, P3"
4797,Handle undefined layout and data in Plotly.validate,closed,2020-05-01T11:40:39Z,2020-06-22T22:51:49Z,archmoj,bug
4794,Fixup default angle of markers on scattermapbox,closed,2020-04-30T18:59:26Z,2020-04-30T19:57:33Z,,"bug, regression"
4792,`itemsizing = 'constant'` doesn't work in 3D scatter plots,open,2020-04-30T15:12:10Z,2024-08-09T17:25:38Z,,"bug, P3"
4791,Bump mapbox-gl to 1.10.0,closed,2020-04-29T00:20:14Z,2020-04-29T12:24:41Z,,"bug, feature"
4795,Using hour rangebreaks causes candlestick chart to fail,closed,2020-04-26T23:10:14Z,2020-05-07T20:07:00Z,archmoj,bug
4789,No bar transition when uniformtext is used,closed,2020-04-25T15:06:00Z,2024-07-04T12:40:22Z,,bug
4787,[BUG] hovermode='x' or 'x-unified' displays information about nearby traces with different 'x' value,closed,2020-04-23T16:33:53Z,2024-04-24T06:17:29Z,,bug
4785,Plots with multiple axes are not aware of other axis tick labels,open,2020-04-23T15:41:47Z,2024-08-09T17:25:48Z,,"bug, P3"
4783,Addressing transform sort order with null values,closed,2020-04-22T18:55:40Z,2020-04-24T16:59:16Z,,"bug, community"
4779,legend title not react()ing,closed,2020-04-21T15:20:19Z,2020-05-11T19:28:35Z,archmoj,bug
4778,notifier: Use full font stack as elsewhere,closed,2020-04-20T19:10:30Z,2020-04-23T14:35:13Z,,"bug, community"
4777,Fix Missing WebGL Message,closed,2020-04-20T13:04:07Z,2020-04-29T14:27:15Z,,bug
4803,xaxis tick not fully displayed when text is too large,open,2020-04-16T18:00:29Z,2024-11-27T13:06:50Z,,"bug, P3"
4766,sankey: node.link.(width|color) does not support arrays,closed,2020-04-15T17:25:46Z,2024-06-17T13:20:51Z,,bug
4765,[Bug] data[type=scattergl ]  gives error if webGL is not supported,closed,2020-04-15T15:35:23Z,2020-04-20T17:00:15Z,,bug
4761,Reversed Y-Axis are flipped to none reversed when click and drag with right mouse button,closed,2020-04-14T09:57:38Z,2024-06-26T18:18:31Z,,"bug, regression"
4759,Plotly.validate error on transforms mocks,closed,2020-04-13T20:09:36Z,2024-06-17T13:21:37Z,,bug
4758,Unable to set box.marker.color via template,open,2020-04-13T16:35:17Z,2024-08-09T17:26:10Z,,"bug, P3"
4752,Bump mapbox-gl to 1.9.1,closed,2020-04-10T00:04:02Z,2020-04-27T21:08:36Z,,"bug, feature"
4749,Wrong order for grouped bar chart sorting (descending),open,2020-04-09T18:16:34Z,2024-08-09T17:26:15Z,,"bug, P3"
4742,Candlestick body width bug with range breaks,closed,2020-04-08T16:48:53Z,2020-05-07T20:07:00Z,archmoj,bug
4729,React bug with Candlestick,closed,2020-04-03T18:55:36Z,2023-10-20T13:41:31Z,,bug
4725,"Fix ""extremes"" opacityscale function",closed,2020-04-02T19:15:32Z,2020-04-20T15:17:58Z,,bug
4723,"The opacityscale, 'extremes', has constant opacity equal to 1",closed,2020-04-02T18:49:27Z,2020-06-05T03:42:43Z,archmoj,bug
4722,Tick labels when using hourly rangebreaks,closed,2020-04-02T17:17:45Z,2020-06-03T17:32:35Z,archmoj,bug
4720,React mapbox style,closed,2020-04-02T03:12:11Z,2020-04-20T15:17:45Z,,bug
4719,Fail to react to tiles in mapbox.style.sources,closed,2020-04-01T20:21:49Z,2020-04-06T19:28:12Z,alexcjohnson,bug
4718,Data order is not applied by React when using matching axes,closed,2020-04-01T18:23:04Z,2020-05-14T18:18:00Z,archmoj,bug
4717,Small sectors in pie chart render incorrectly (Chrome / Linux),open,2020-03-30T23:12:54Z,2024-08-27T12:57:42Z,,"bug, P3"
4716,Spike position in unified hover mode,closed,2020-03-30T21:20:48Z,2021-03-16T14:25:55Z,,bug
4715,Invalid rangebreaks should be ignored instead of resulting in a bad render,closed,2020-03-30T20:40:21Z,2020-03-31T12:54:38Z,archmoj,bug
4714,Skip zeroline when negative sizes are present on positive base and vice versa,closed,2020-03-30T18:09:50Z,2020-04-20T15:17:50Z,,bug
4713,Bar hovers near range breaks,closed,2020-03-30T17:27:25Z,2024-06-17T13:23:45Z,,bug
4711,Sorting a line chart with multiple traces messes up order of traces,open,2020-03-30T14:37:02Z,2024-08-09T14:08:05Z,,"bug, P3"
4701,autorange should not display zero line for certain bars with positive base and negative value,closed,2020-03-28T09:44:41Z,2020-04-06T19:03:59Z,archmoj,bug
4700,rangebreaks mapping on reversed ranges,closed,2020-03-28T05:25:12Z,2020-03-29T21:59:07Z,archmoj,bug
4699,Fixup rangebreaks l2p and p2l functions ,closed,2020-03-28T04:25:19Z,2020-03-29T21:59:12Z,,bug
4698,Improve positioning of rangebreaks,closed,2020-03-28T00:36:08Z,2020-03-28T01:25:38Z,,bug
4697,time labels on reversed horizontal axes with rangebreaks are slightly off ,closed,2020-03-27T19:11:24Z,2020-03-28T01:25:59Z,,bug
4696,Do not show tick labels falling inside rangebreaks,closed,2020-03-27T18:12:02Z,2020-03-27T19:17:54Z,,bug
4695,"Avoid tight daily labels on axes with rangebreaks when using ""day of week"" pattern",closed,2020-03-27T13:35:34Z,2020-03-27T17:15:33Z,,bug
4693,rangebreaks hovermode=closest offset,closed,2020-03-26T20:46:16Z,2020-03-29T21:59:07Z,archmoj,bug
4692,rangebreaks sometimes draws the gridline on the wrong point,closed,2020-03-26T20:45:50Z,2020-03-27T19:17:47Z,archmoj,bug
4688,"Avoid missing gridlines on axis with rangebreaks using ""day of week"" pattern",closed,2020-03-25T22:44:00Z,2020-03-25T23:24:31Z,,bug
