Filepath,Filename,Version,Date,Average Line Length,Blank Lines,Code Lines,Comment Lines,Difficulty,Effort,Final Score,Grade,Length,Total Lines,Total Operands,Total Operators,Unique Operands,Unique Operators,Vocabulary,Volume,class,else,except,for,if,import,lambda,return,try,while,with
plotly/js/versions/2017/Q1_2017-01-02/src/plots/ternary/index.js,index.js,,2017-01-02,38.80,21,51,0,15.65,41532.75,55,C,393,72,194,199,93,15,108,2654.67,,,,2,2,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/ternary/ternary.js,ternary.js,,2017-01-02,39.95,97,590,0,38.15,1758929.68,55,C,5036,687,2642,2394,554,16,570,46103.66,4,11,,14,26,,,7,,,3
plotly/js/versions/2017/Q1_2017-01-02/src/plots/ternary/layout/attributes.js,attributes.js,,2017-01-02,30.48,3,21,0,8.21,5868.04,65,B-,117,24,78,39,57,12,69,714.70,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/ternary/layout/axis_attributes.js,axis_attributes.js,,2017-01-02,34.53,5,58,0,11.06,23442.37,55,C,307,63,199,108,108,12,120,2120.42,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/ternary/layout/axis_defaults.js,axis_defaults.js,,2017-01-02,42.50,18,64,0,10.50,38135.86,55,C,499,82,275,224,144,11,155,3630.79,,,,2,4,,,1,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/ternary/layout/defaults.js,defaults.js,,2017-01-02,42.64,11,50,0,15.40,42517.10,55,C,395,61,230,165,112,15,127,2760.53,,,,1,6,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plots/ternary/layout/layout_attributes.js,layout_attributes.js,,2017-01-02,28.37,4,59,0,12.31,21446.62,55,C,269,63,158,111,77,12,89,1741.97,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/src/plot_api/helpers.js,helpers.js,,2017-01-02,39.49,81,405,0,29.22,851871.05,55,C,3253,486,1764,1489,483,16,499,29156.30,,14,,15,88,,,11,,,4
plotly/js/versions/2017/Q1_2017-01-02/src/plot_api/plot_api.js,plot_api.js,,2017-01-02,42.00,432,2391,0,53.39,11251623.89,55,C,19712,2823,10931,8781,1638,16,1654,210755.65,1,96,1,92,313,,,79,3,3,13
plotly/js/versions/2017/Q1_2017-01-02/src/plot_api/plot_config.js,plot_config.js,,2017-01-02,39.19,29,89,0,13.57,75633.86,55,C,687,118,474,213,262,15,277,5574.14,,,,6,4,,,,1,,1
plotly/js/versions/2017/Q1_2017-01-02/src/plot_api/plot_schema.js,plot_schema.js,,2017-01-02,37.53,86,310,0,28.36,495770.43,55,C,2110,396,1123,987,297,15,312,17482.20,,5,,8,22,,,24,,,2
